trade_id,symbol,strategy_family,outcome,pnl_usd,close_timestamp_et,close_reason,max_tracked_pnl_usd,max_tracked_pips,max_rr_ratio,initial_sl_present,initial_tp_present,oco_placed,position_synced,position_sync_sl_present,trail_candidate_count,trail_current_sl_samples,locked_trail_samples,green_lock_events,trade_stop_update_events,stop_moved_events,any_trailing_or_lock_applied,secondary_failure_class,secondary_failure_detail,source_path
150814,EUR_USD,reversal,LOSS,-12.8,2026-05-05T07:19:47.825536-04:00,wick_scratch,-9.6,-0.75,-0.0595,True,True,True,True,True,2,2,0,0,0,0,False,entry_failed_before_secondary_could_help,"SL/TP and manager samples existed, but no favorable excursion was logged before the loss.",/home/rfing/READ_ONLY_LEGACY/RBOT_VERSIONED_REPOS/OANDA_V1C_002_APR14_SESSION_FOCUS_20260507_001/logs/narration.jsonl
150822,GBP_USD,reversal,LOSS,-4.95,2026-05-05T07:34:50.332312-04:00,wick_scratch,7.15,2.15,0.1706,True,True,True,True,True,10,10,0,0,0,0,False,edge_present_but_no_trailing_or_lock,"Trade reached about +$7.15, then closed at $-4.95; no green-lock, stop update, or locked trailing sample was logged.",/home/rfing/READ_ONLY_LEGACY/RBOT_VERSIONED_REPOS/OANDA_V1C_002_APR14_SESSION_FOCUS_20260507_001/logs/narration.jsonl
150830,EUR_USD,reversal,LOSS,-11.52,2026-05-05T07:35:42.541214-04:00,wick_scratch,-10.24,-0.8,-0.0635,True,True,True,True,True,2,2,0,0,0,0,False,entry_failed_before_secondary_could_help,"SL/TP and manager samples existed, but no favorable excursion was logged before the loss.",/home/rfing/READ_ONLY_LEGACY/RBOT_VERSIONED_REPOS/OANDA_V1C_002_APR14_SESSION_FOCUS_20260507_001/logs/narration.jsonl
150838,AUD_USD,reversal,LOSS,-3.92,2026-05-05T07:44:53.184899-04:00,wick_scratch,-1.68,0.4,0.0317,True,True,True,True,True,4,4,0,0,0,0,False,small_pip_green_not_enough_for_lock,Trade only reached about +0.40 pips; likely below meaningful lock threshold.,/home/rfing/READ_ONLY_LEGACY/RBOT_VERSIONED_REPOS/OANDA_V1C_002_APR14_SESSION_FOCUS_20260507_001/logs/narration.jsonl
150846,USD_CAD,reversal,LOSS,-16.6923,2026-05-05T07:46:03.462346-04:00,wick_scratch,-11.6854,-1.05,-0.0833,True,True,True,True,True,2,2,0,0,0,0,False,entry_failed_before_secondary_could_help,"SL/TP and manager samples existed, but no favorable excursion was logged before the loss.",/home/rfing/READ_ONLY_LEGACY/RBOT_VERSIONED_REPOS/OANDA_V1C_002_APR14_SESSION_FOCUS_20260507_001/logs/narration.jsonl
150854,EUR_USD,reversal,LOSS,-10.88,2026-05-05T07:53:18.052795-04:00,wick_scratch,-6.4,-0.3,-0.0238,True,True,True,True,True,2,2,0,0,0,0,False,entry_failed_before_secondary_could_help,"SL/TP and manager samples existed, but no favorable excursion was logged before the loss.",/home/rfing/READ_ONLY_LEGACY/RBOT_VERSIONED_REPOS/OANDA_V1C_002_APR14_SESSION_FOCUS_20260507_001/logs/narration.jsonl
150862,USD_CAD,reversal,LOSS,-6.6756,2026-05-05T08:15:51.531597-04:00,wick_scratch,-8.3442,-0.75,-0.0595,True,True,True,True,True,2,2,0,0,0,0,False,entry_failed_before_secondary_could_help,"SL/TP and manager samples existed, but no favorable excursion was logged before the loss.",/home/rfing/READ_ONLY_LEGACY/RBOT_VERSIONED_REPOS/OANDA_V1C_002_APR14_SESSION_FOCUS_20260507_001/logs/narration.jsonl
150882,EUR_USD,reversal,LOSS,-7.02,2026-05-05T08:24:15.270629-04:00,wick_scratch,-8.64,-0.8,-0.0635,True,True,True,True,True,2,2,0,0,0,0,False,entry_failed_before_secondary_could_help,"SL/TP and manager samples existed, but no favorable excursion was logged before the loss.",/home/rfing/READ_ONLY_LEGACY/RBOT_VERSIONED_REPOS/OANDA_V1C_002_APR14_SESSION_FOCUS_20260507_001/logs/narration.jsonl
150890,USD_CAD,scalp,LOSS,-6.0045,2026-05-05T08:40:51.664947-04:00,wick_scratch,-7.2056,-0.9,-0.0714,True,True,True,True,True,1,1,0,0,0,0,False,entry_failed_before_secondary_could_help,"SL/TP and manager samples existed, but no favorable excursion was logged before the loss.",/home/rfing/READ_ONLY_LEGACY/RBOT_VERSIONED_REPOS/OANDA_V1C_002_APR14_SESSION_FOCUS_20260507_001/logs/narration.jsonl
150902,EUR_USD,reversal,LOSS,-16.0,2026-05-05T08:46:34.054371-04:00,wick_scratch,-10.88,-0.9,-0.0714,True,True,True,True,True,2,2,0,0,0,0,False,entry_failed_before_secondary_could_help,"SL/TP and manager samples existed, but no favorable excursion was logged before the loss.",/home/rfing/READ_ONLY_LEGACY/RBOT_VERSIONED_REPOS/OANDA_V1C_002_APR14_SESSION_FOCUS_20260507_001/logs/narration.jsonl
150910,USD_CAD,scalp,LOSS,-7.6053,2026-05-05T08:56:19.131723-04:00,wick_scratch,-7.205,-0.9,-0.0714,True,True,True,True,True,1,1,0,0,0,0,False,entry_failed_before_secondary_could_help,"SL/TP and manager samples existed, but no favorable excursion was logged before the loss.",/home/rfing/READ_ONLY_LEGACY/RBOT_VERSIONED_REPOS/OANDA_V1C_002_APR14_SESSION_FOCUS_20260507_001/STATE_SNAPSHOT/narration_tail_200.jsonl
