clean_for_strategy_mining,close_hour_et,close_reason,close_timestamp_et,close_timestamp_utc,close_venue,confidence_class,confidence_reason,direction,duplicate_source_count,duplicate_sources,entry_price,event_type,exit_profile,last_tracked_pips,last_tracked_pnl_usd,loss_diagnosis,loss_diagnosis_detail,max_rr_ratio,max_tracked_pips,max_tracked_pnl_usd,min_tracked_pips,min_tracked_pnl_usd,open_timestamp_et,outcome,pnl_usd,signal_confidence,signal_detectors,signal_session,signal_votes,source_line,source_path,source_repo,stop_loss,strategy_family,strategy_label,symbol,take_profit,timeframe,trade_id,trail_samples,units,workflow_profile
True,11,wick_scratch,2026-05-05T11:07:18.703837-04:00,2026-05-05T15:07:18.703837+00:00,oanda,high_confidence_practice_receipt,closed trade linked to matching PRACTICE OCO order with live_api=true and visible_in_oanda=true,SELL,2,/home/rfing/READ_ONLY_LEGACY/RBOT_VERSIONED_REPOS/OANDA_V1C_002_APR14_SESSION_FOCUS_20260507_001/logs/narration.jsonl;/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/OAD_PROD/logs/narration.jsonl,1.35679,TRADE_CLOSED,,-0.95,-9.72,scratch_or_noise_exit_without_followthrough,Closed by wick_scratch and never showed meaningful favorable P&L in the tracked manager samples.,-0.0754,-0.95,-9.72,-1.0,-10.8,2026-05-05T11:06:44.847776-04:00,LOSS,-4.86,0.72,liq_sweep,overlap,0,311290,/home/rfing/READ_ONLY_LEGACY/RBOT_VERSIONED_REPOS/OANDA_V1C_002_APR14_SESSION_FOCUS_20260507_001/logs/narration.jsonl,RBOT_VERSIONED_REPOS,1.35729,reversal,reversal,GBP_USD,1.35604,M15,150930,2,-54000.0,liquidity_trap_reversal
True,11,wick_scratch,2026-05-05T11:07:18.909760-04:00,2026-05-05T15:07:18.909760+00:00,oanda,high_confidence_practice_receipt,closed trade linked to matching PRACTICE OCO order with live_api=true and visible_in_oanda=true,SELL,2,/home/rfing/READ_ONLY_LEGACY/RBOT_VERSIONED_REPOS/OANDA_V1C_002_APR14_SESSION_FOCUS_20260507_001/logs/narration.jsonl;/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/OAD_PROD/logs/narration.jsonl,1.17092,TRADE_CLOSED,,-1.45,-11.88,scratch_or_noise_exit_without_followthrough,Closed by wick_scratch and never showed meaningful favorable P&L in the tracked manager samples.,-0.0635,-0.8,-8.64,-1.45,-11.88,2026-05-05T11:06:44.407824-04:00,LOSS,-6.48,0.72,liq_sweep,overlap,0,311292,/home/rfing/READ_ONLY_LEGACY/RBOT_VERSIONED_REPOS/OANDA_V1C_002_APR14_SESSION_FOCUS_20260507_001/logs/narration.jsonl,RBOT_VERSIONED_REPOS,1.17136,reversal,reversal,EUR_USD,1.17026,M15,150926,2,-54000.0,liquidity_trap_reversal
True,11,wick_scratch,2026-05-05T11:31:17.155582-04:00,2026-05-05T15:31:17.155582+00:00,oanda,high_confidence_practice_receipt,closed trade linked to matching PRACTICE OCO order with live_api=true and visible_in_oanda=true,SELL,2,/home/rfing/READ_ONLY_LEGACY/RBOT_VERSIONED_REPOS/OANDA_V1C_002_APR14_SESSION_FOCUS_20260507_001/logs/narration.jsonl;/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/OAD_PROD/logs/narration.jsonl,1.35658,TRADE_CLOSED,,0.75,-1.62,scratch_or_noise_exit_without_followthrough,Closed by wick_scratch and never showed meaningful favorable P&L in the tracked manager samples.,0.0595,0.75,-1.62,-1.1,-10.8,2026-05-05T11:30:11.473133-04:00,LOSS,-5.94,0.78,trap_reversal,overlap,0,311597,/home/rfing/READ_ONLY_LEGACY/RBOT_VERSIONED_REPOS/OANDA_V1C_002_APR14_SESSION_FOCUS_20260507_001/logs/narration.jsonl,RBOT_VERSIONED_REPOS,1.35695,reversal,reversal,GBP_USD,1.35602,M15,150942,2,-54000.0,liquidity_trap_reversal
True,11,wick_scratch,2026-05-05T11:31:34.178092-04:00,2026-05-05T15:31:34.178092+00:00,oanda,high_confidence_practice_receipt,closed trade linked to matching PRACTICE OCO order with live_api=true and visible_in_oanda=true,SELL,2,/home/rfing/READ_ONLY_LEGACY/RBOT_VERSIONED_REPOS/OANDA_V1C_002_APR14_SESSION_FOCUS_20260507_001/logs/narration.jsonl;/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/OAD_PROD/logs/narration.jsonl,1.17062,TRADE_CLOSED,,0.15,-3.78,small_edge_then_noise_loss,Trade had only a small favorable excursion of about +$0.54; edge was not strong enough before the loss.,0.0794,1.0,0.54,-0.45,-6.48,2026-05-05T11:30:12.064089-04:00,LOSS,-5.4,0.7657,trap_reversal,overlap,0,311603,/home/rfing/READ_ONLY_LEGACY/RBOT_VERSIONED_REPOS/OANDA_V1C_002_APR14_SESSION_FOCUS_20260507_001/logs/narration.jsonl,RBOT_VERSIONED_REPOS,1.17094,reversal,reversal,EUR_USD,1.17014,M15,150946,3,-54000.0,liquidity_trap_reversal
True,11,wick_scratch,2026-05-05T11:34:07.696134-04:00,2026-05-05T15:34:07.696134+00:00,oanda,high_confidence_practice_receipt,closed trade linked to matching PRACTICE OCO order with live_api=true and visible_in_oanda=true,SELL,2,/home/rfing/READ_ONLY_LEGACY/RBOT_VERSIONED_REPOS/OANDA_V1C_002_APR14_SESSION_FOCUS_20260507_001/logs/narration.jsonl;/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/OAD_PROD/logs/narration.jsonl,0.71916,TRADE_CLOSED,,0.65,0.0,small_edge_then_noise_loss,Trade had only a small favorable excursion of about +$2.65; edge was not strong enough before the loss.,0.0913,1.15,2.65,-0.6,-6.36,2026-05-05T11:31:50.732936-04:00,LOSS,-3.71,0.7682,trap_reversal,overlap,0,311648,/home/rfing/READ_ONLY_LEGACY/RBOT_VERSIONED_REPOS/OANDA_V1C_002_APR14_SESSION_FOCUS_20260507_001/logs/narration.jsonl,RBOT_VERSIONED_REPOS,0.71951,reversal,reversal,AUD_USD,0.71864,M15,150962,8,-53000.0,liquidity_trap_reversal
True,12,wick_scratch,2026-05-05T12:06:21.338156-04:00,2026-05-05T16:06:21.338156+00:00,oanda,high_confidence_practice_receipt,closed trade linked to matching PRACTICE OCO order with live_api=true and visible_in_oanda=true,BUY,2,/home/rfing/READ_ONLY_LEGACY/RBOT_VERSIONED_REPOS/OANDA_V1C_002_APR14_SESSION_FOCUS_20260507_001/logs/narration.jsonl;/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/OAD_PROD/logs/narration.jsonl,1.36098,TRADE_CLOSED,,-0.75,-8.9052,scratch_or_noise_exit_without_followthrough,Closed by wick_scratch and never showed meaningful favorable P&L in the tracked manager samples.,-0.0595,-0.75,-8.9052,-0.85,-10.0185,2026-05-05T12:05:31.758705-04:00,LOSS,-12.2453,0.83,trap_reversal,new_york,0,311741,/home/rfing/READ_ONLY_LEGACY/RBOT_VERSIONED_REPOS/OANDA_V1C_002_APR14_SESSION_FOCUS_20260507_001/logs/narration.jsonl,RBOT_VERSIONED_REPOS,1.36035,reversal,reversal,USD_CAD,1.36193,M15,150974,2,75000.0,liquidity_trap_reversal
True,12,wick_scratch,2026-05-05T12:06:39.299852-04:00,2026-05-05T16:06:39.299852+00:00,oanda,high_confidence_practice_receipt,closed trade linked to matching PRACTICE OCO order with live_api=true and visible_in_oanda=true,SELL,2,/home/rfing/READ_ONLY_LEGACY/RBOT_VERSIONED_REPOS/OANDA_V1C_002_APR14_SESSION_FOCUS_20260507_001/logs/narration.jsonl;/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/OAD_PROD/logs/narration.jsonl,1.17062,TRADE_CLOSED,,-1.75,-16.0,scratch_or_noise_exit_without_followthrough,Closed by wick_scratch and never showed meaningful favorable P&L in the tracked manager samples.,-0.0595,-0.75,-9.6,-1.75,-16.0,2026-05-05T12:05:31.257069-04:00,LOSS,-15.36,0.83,trap_reversal,new_york,0,311748,/home/rfing/READ_ONLY_LEGACY/RBOT_VERSIONED_REPOS/OANDA_V1C_002_APR14_SESSION_FOCUS_20260507_001/logs/narration.jsonl,RBOT_VERSIONED_REPOS,1.17115,reversal,reversal,EUR_USD,1.16982,M15,150970,2,-64000.0,liquidity_trap_reversal
True,12,wick_scratch,2026-05-05T12:09:28.174201-04:00,2026-05-05T16:09:28.174201+00:00,oanda,high_confidence_practice_receipt,closed trade linked to matching PRACTICE OCO order with live_api=true and visible_in_oanda=true,SELL,2,/home/rfing/READ_ONLY_LEGACY/RBOT_VERSIONED_REPOS/OANDA_V1C_002_APR14_SESSION_FOCUS_20260507_001/logs/narration.jsonl;/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/OAD_PROD/logs/narration.jsonl,1.35731,TRADE_CLOSED,,-0.9,-9.9,scratch_or_noise_exit_without_followthrough,Closed by wick_scratch and never showed meaningful favorable P&L in the tracked manager samples.,-0.0635,-0.8,-8.8,-0.9,-9.9,2026-05-05T12:08:54.054362-04:00,LOSS,-8.8,0.8269,trap_reversal,new_york,0,311810,/home/rfing/READ_ONLY_LEGACY/RBOT_VERSIONED_REPOS/OANDA_V1C_002_APR14_SESSION_FOCUS_20260507_001/logs/narration.jsonl,RBOT_VERSIONED_REPOS,1.35793,reversal,reversal,GBP_USD,1.35638,M15,150990,2,-55000.0,liquidity_trap_reversal
True,12,wick_scratch,2026-05-05T12:21:16.014114-04:00,2026-05-05T16:21:16.014114+00:00,oanda,high_confidence_practice_receipt,closed trade linked to matching PRACTICE OCO order with live_api=true and visible_in_oanda=true,SELL,2,/home/rfing/READ_ONLY_LEGACY/RBOT_VERSIONED_REPOS/OANDA_V1C_002_APR14_SESSION_FOCUS_20260507_001/logs/narration.jsonl;/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/OAD_PROD/logs/narration.jsonl,0.71907,TRADE_CLOSED,,-0.55,-6.36,scratch_or_noise_exit_without_followthrough,Closed by wick_scratch and never showed meaningful favorable P&L in the tracked manager samples.,-0.0437,-0.55,-6.36,-0.65,-6.89,2026-05-05T12:20:42.193555-04:00,LOSS,-6.36,0.7362,trap_reversal,new_york,0,311910,/home/rfing/READ_ONLY_LEGACY/RBOT_VERSIONED_REPOS/OANDA_V1C_002_APR14_SESSION_FOCUS_20260507_001/logs/narration.jsonl,RBOT_VERSIONED_REPOS,0.71941,reversal,reversal,AUD_USD,0.71856,M15,150998,2,-53000.0,liquidity_trap_reversal
True,12,wick_scratch,2026-05-05T12:31:24.997549-04:00,2026-05-05T16:31:24.997549+00:00,oanda,high_confidence_practice_receipt,closed trade linked to matching PRACTICE OCO order with live_api=true and visible_in_oanda=true,SELL,2,/home/rfing/READ_ONLY_LEGACY/RBOT_VERSIONED_REPOS/OANDA_V1C_002_APR14_SESSION_FOCUS_20260507_001/logs/narration.jsonl;/home/rfing/READ_ONLY_LEGACY/WSL_LEGACY_READ_ONLY/archived_20260530_oanda_legacy_batch1/OAD_PROD/logs/narration.jsonl,1.36184,TRADE_CLOSED,,-1.15,-7.8613,scratch_or_noise_exit_without_followthrough,Closed by wick_scratch and never showed meaningful favorable P&L in the tracked manager samples.,-0.0675,-0.85,-7.4683,-1.15,-7.8613,2026-05-05T12:30:51.414477-04:00,LOSS,-10.2192,0.7925,trap_reversal,new_york,0,312000,/home/rfing/READ_ONLY_LEGACY/RBOT_VERSIONED_REPOS/OANDA_V1C_002_APR14_SESSION_FOCUS_20260507_001/logs/narration.jsonl,RBOT_VERSIONED_REPOS,1.3622,reversal,reversal,USD_CAD,1.3613,M15,151006,2,-53000.0,liquidity_trap_reversal
